username,date,text,number of likes,number of retweets,number of discussions
jasonleowsg,2020-07-09 14:58:07+00:00, Idea: An Applicant Tracking System but for job seekers. #requestforproduct #requestforstartup ,2,1,0
vlives23,2020-07-09 14:50:22+00:00,Not to mention Navajo Nation only allows for expedited right of way processes for government permit request where private ROW business site leases take between 5-10 years,1,1,0
ColinKeeley,2020-07-09 13:50:09+00:00,Startup Request: Delivery service for Craigslist &amp; Facebook Marketplace I’d like to be able to bribe a high schooler to pickup stuff for me within a few hours. Easy way to make money just driving around and listening to podcasts.,36,0,13
minney_cat,2020-07-09 23:11:26+00:00, One thing I wish more people internalized is that language (read:text) is humanity's longest running program (h/t @Smerity ). More low-/no-code tools that rely on building in words rather than drag-and-drop interfaces! #requestforstartup https://twitter.com/laceykesler/status/1281284693678227456?s=21,4,0,1
Josh_Taub,2020-07-09 14:20:01+00:00,"We run the tool every Saturday and send matched startups to investors. Investors usually respond within a few days with any requests for introductions. For investors with many matches, it might take several weeks before they are able to review your startup.",2,0,1
PedanticAuspice,2020-07-09 12:10:55+00:00,"There were also a couple of indie game studios a while back that have shied away with the request for commission contracts when asking me to do concept sketches and character designs. I believe the lines were something like ""we're just a startup and can't risk making contracts"".",2,0,1
geertjansloos,2020-07-09 18:57:05+00:00,@AskPayPal @PayPal after 6 months still no access to PayPal Commerce Platform for @payrequest_io after filling in several request forms. Sad that big companies do not want to work with startups.,0,0,0
jasonleowsg,2020-07-09 15:47:10+00:00," Biz opportunity: Web design 101 training using Webflow, for higher ed institutions. Can imagine a productized consulting/training service doing just that. #requestforstartup #productizedservices",0,0,0
ThePhoenix1208,2020-07-09 08:39:30+00:00,"Hi, it's Adrian here. I hope you can join me from the top of the hour for The Startup Selection. We'll have the Motown tripple play and requests on the theme of hearts. You can also request songs from Soft Cell and Simple Minds as there are associated artists' birthdays today.",0,0,0
stefanbell,2020-07-09 07:18:31+00:00,"8/8 News Tech Startups Congress My fans don’t retweet these out of my request to not be on news. This is a request for you to be The Experts. Hear me, please. And change. While keeping your jobs. cc @CNN @ABC @CBS @NBC @CDCgov @Apple @Microsoft @KamalaHarris @NewsHour @NPR @PRI",0,0,0
